# contact distance = 3
# r = [0.29406, 3.8558]

# i j contact_probability mean_contact_probability stddev_contact_probability
8 6 0.6 0.333088 0.173223
8 7 0.705882 0.333088 0.173223
8 8 0.788235 0.333088 0.173223
8 9 0.694118 0.333088 0.173223
8 10 0.670588 0.333088 0.173223
8 11 0.694118 0.333088 0.173223
8 12 0.705882 0.333088 0.173223
8 13 0.670588 0.333088 0.173223
8 14 0.564706 0.333088 0.173223
8 15 0.576471 0.333088 0.173223
8 16 0.458824 0.333088 0.173223
8 17 0.482353 0.333088 0.173223
8 18 0.4 0.333088 0.173223
8 19 0.270588 0.333088 0.173223
9 0 0.294118 0.333088 0.173223
9 1 0.317647 0.333088 0.173223
9 2 0.352941 0.333088 0.173223
9 3 0.317647 0.333088 0.173223
9 4 0.317647 0.333088 0.173223
9 5 0.470588 0.333088 0.173223
9 6 0.611765 0.333088 0.173223
9 7 0.705882 0.333088 0.173223
9 8 0.752941 0.333088 0.173223
9 9 0.741176 0.333088 0.173223
9 10 0.682353 0.333088 0.173223
9 11 0.705882 0.333088 0.173223
9 12 0.752941 0.333088 0.173223
9 13 0.635294 0.333088 0.173223
9 14 0.482353 0.333088 0.173223
9 15 0.517647 0.333088 0.173223
9 16 0.458824 0.333088 0.173223
9 17 0.470588 0.333088 0.173223
9 18 0.411765 0.333088 0.173223
9 19 0.294118 0.333088 0.173223
10 0 0.305882 0.333088 0.173223
10 1 0.258824 0.333088 0.173223
10 2 0.305882 0.333088 0.173223
10 3 0.270588 0.333088 0.173223
10 4 0.294118 0.333088 0.173223
10 5 0.423529 0.333088 0.173223
10 6 0.552941 0.333088 0.173223
10 7 0.611765 0.333088 0.173223
10 8 0.694118 0.333088 0.173223
10 9 0.682353 0.333088 0.173223
10 10 0.564706 0.333088 0.173223
10 11 0.682353 0.333088 0.173223
10 12 0.647059 0.333088 0.173223
10 13 0.576471 0.333088 0.173223
10 14 0.4 0.333088 0.173223
10 15 0.458824 0.333088 0.173223
10 16 0.364706 0.333088 0.173223
10 17 0.388235 0.333088 0.173223
10 18 0.341176 0.333088 0.173223
10 19 0.270588 0.333088 0.173223
11 0 0.258824 0.333088 0.173223
11 1 0.247059 0.333088 0.173223
