# contact distance = 3
# r = [1.7052, 4.99384]

# i j contact_probability mean_contact_probability stddev_contact_probability
7 17 0.292994 0.238201 0.0867832
7 18 0.33121 0.238201 0.0867832
7 19 0.33121 0.238201 0.0867832
8 0 0.210191 0.238201 0.0867832
8 1 0.280255 0.238201 0.0867832
8 2 0.350318 0.238201 0.0867832
8 3 0.286624 0.238201 0.0867832
8 4 0.235669 0.238201 0.0867832
8 5 0.22293 0.238201 0.0867832
8 6 0.210191 0.238201 0.0867832
8 7 0.248408 0.238201 0.0867832
8 8 0.203822 0.238201 0.0867832
8 9 0.171975 0.238201 0.0867832
8 10 0.140127 0.238201 0.0867832
8 11 0.165605 0.238201 0.0867832
8 12 0.178344 0.238201 0.0867832
8 13 0.203822 0.238201 0.0867832
8 14 0.178344 0.238201 0.0867832
8 15 0.184713 0.238201 0.0867832
8 16 0.197452 0.238201 0.0867832
8 17 0.324841 0.238201 0.0867832
8 18 0.33758 0.238201 0.0867832
8 19 0.33758 0.238201 0.0867832
9 0 0.197452 0.238201 0.0867832
9 1 0.305732 0.238201 0.0867832
9 2 0.343949 0.238201 0.0867832
9 3 0.292994 0.238201 0.0867832
9 4 0.248408 0.238201 0.0867832
9 5 0.203822 0.238201 0.0867832
9 6 0.197452 0.238201 0.0867832
9 7 0.216561 0.238201 0.0867832
9 8 0.140127 0.238201 0.0867832
9 9 0.171975 0.238201 0.0867832
9 10 0.140127 0.238201 0.0867832
9 11 0.127389 0.238201 0.0867832
9 12 0.159236 0.238201 0.0867832
9 13 0.191083 0.238201 0.0867832
9 14 0.203822 0.238201 0.0867832
9 15 0.191083 0.238201 0.0867832
9 16 0.261146 0.238201 0.0867832
9 17 0.305732 0.238201 0.0867832
9 18 0.33758 0.238201 0.0867832
9 19 0.356688 0.238201 0.0867832
10 0 0.146497 0.238201 0.0867832
10 1 0.242038 0.238201 0.0867832
10 2 0.248408 0.238201 0.0867832
10 3 0.235669 0.238201 0.0867832
10 4 0.235669 0.238201 0.0867832
10 5 0.191083 0.238201 0.0867832
10 6 0.171975 0.238201 0.0867832
10 7 0.159236 0.238201 0.0867832
10 8 0.121019 0.238201 0.0867832
10 9 0.11465 0.238201 0.0867832
10 10 0.089172 0.238201 0.0867832
10 11 0.101911 0.238201 0.0867832
10 12 0.0955414 0.238201 0.0867832
10 13 0.152866 0.238201 0.0867832
10 14 0.152866 0.238201 0.0867832
10 15 0.159236 0.238201 0.0867832
10 16 0.197452 0.238201 0.0867832
10 17 0.273885 0.238201 0.0867832
10 18 0.299363 0.238201 0.0867832
10 19 0.312102 0.238201 0.0867832
11 0 0.127389 0.238201 0.0867832
11 1 0.171975 0.238201 0.0867832
11 2 0.210191 0.238201 0.0867832
11 3 0.178344 0.238201 0.0867832
11 4 0.178344 0.238201 0.0867832
11 5 0.159236 0.238201 0.0867832
11 6 0.152866 0.238201 0.0867832
11 7 0.165605 0.238201 0.0867832
11 8 0.133758 0.238201 0.0867832
11 9 0.089172 0.238201 0.0867832
11 10 0.089172 0.238201 0.0867832
11 11 0.101911 0.238201 0.0867832
11 12 0.089172 0.238201 0.0867832
11 13 0.10828 0.238201 0.0867832
11 14 0.10828 0.238201 0.0867832
11 15 0.165605 0.238201 0.0867832
11 16 0.165605 0.238201 0.0867832
11 17 0.216561 0.238201 0.0867832
11 18 0.261146 0.238201 0.0867832
11 19 0.273885 0.238201 0.0867832
12 0 0.127389 0.238201 0.0867832
12 1 0.171975 0.238201 0.0867832
12 2 0.152866 0.238201 0.0867832
12 3 0.191083 0.238201 0.0867832
12 4 0.159236 0.238201 0.0867832
12 5 0.152866 0.238201 0.0867832
12 6 0.159236 0.238201 0.0867832
12 7 0.165605 0.238201 0.0867832
12 8 0.140127 0.238201 0.0867832
12 9 0.101911 0.238201 0.0867832
12 10 0.10828 0.238201 0.0867832
12 11 0.0700637 0.238201 0.0867832
12 12 0.0764331 0.238201 0.0867832
12 13 0.0828025 0.238201 0.0867832
12 14 0.10828 0.238201 0.0867832
12 15 0.10828 0.238201 0.0867832
12 16 0.171975 0.238201 0.0867832
12 17 0.216561 0.238201 0.0867832
12 18 0.267516 0.238201 0.0867832
12 19 0.273885 0.238201 0.0867832
13 0 0.152866 0.238201 0.0867832
13 1 0.178344 0.238201 0.0867832
13 2 0.184713 0.238201 0.0867832
13 3 0.210191 0.238201 0.0867832
13 4 0.184713 0.238201 0.0867832
13 5 0.197452 0.238201 0.0867832
13 6 0.22293 0.238201 0.0867832
13 7 0.203822 0.238201 0.0867832
13 8 0.171975 0.238201 0.0867832
13 9 0.133758 0.238201 0.0867832
13 10 0.121019 0.238201 0.0867832
