# contact distance = 3.5
# r = [1.09179, 3.74775]

# i j contact_probability mean_contact_probability stddev_contact_probability
8 5 0.688312 0.509805 0.121735
8 6 0.701299 0.509805 0.121735
8 7 0.701299 0.509805 0.121735
8 8 0.584416 0.509805 0.121735
8 9 0.545455 0.509805 0.121735
8 10 0.493506 0.509805 0.121735
8 11 0.480519 0.509805 0.121735
8 12 0.402597 0.509805 0.121735
8 13 0.337662 0.509805 0.121735
8 14 0.415584 0.509805 0.121735
8 15 0.480519 0.509805 0.121735
8 16 0.506494 0.509805 0.121735
8 17 0.545455 0.509805 0.121735
8 18 0.571429 0.509805 0.121735
8 19 0.545455 0.509805 0.121735
9 0 0.623377 0.509805 0.121735
9 1 0.571429 0.509805 0.121735
9 2 0.545455 0.509805 0.121735
9 3 0.662338 0.509805 0.121735
9 4 0.597403 0.509805 0.121735
9 5 0.61039 0.509805 0.121735
9 6 0.675325 0.509805 0.121735
9 7 0.649351 0.509805 0.121735
9 8 0.532468 0.509805 0.121735
9 9 0.571429 0.509805 0.121735
9 10 0.467532 0.509805 0.121735
9 11 0.480519 0.509805 0.121735
9 12 0.324675 0.509805 0.121735
9 13 0.311688 0.509805 0.121735
9 14 0.402597 0.509805 0.121735
9 15 0.480519 0.509805 0.121735
9 16 0.506494 0.509805 0.121735
9 17 0.454545 0.509805 0.121735
9 18 0.532468 0.509805 0.121735
9 19 0.545455 0.509805 0.121735
10 0 0.571429 0.509805 0.121735
10 1 0.558442 0.509805 0.121735
10 2 0.519481 0.509805 0.121735
10 3 0.558442 0.509805 0.121735
10 4 0.506494 0.509805 0.121735
10 5 0.493506 0.509805 0.121735
10 6 0.493506 0.509805 0.121735
10 7 0.545455 0.509805 0.121735
10 8 0.467532 0.509805 0.121735
10 9 0.493506 0.509805 0.121735
10 10 0.363636 0.509805 0.121735
10 11 0.38961 0.509805 0.121735
10 12 0.220779 0.509805 0.121735
10 13 0.246753 0.509805 0.121735
10 14 0.272727 0.509805 0.121735
10 15 0.350649 0.509805 0.121735
10 16 0.38961 0.509805 0.121735
10 17 0.376623 0.509805 0.121735
10 18 0.493506 0.509805 0.121735
10 19 0.519481 0.509805 0.121735
11 0 0.571429 0.509805 0.121735
11 1 0.532468 0.509805 0.121735
11 2 0.493506 0.509805 0.121735
11 3 0.532468 0.509805 0.121735
11 4 0.493506 0.509805 0.121735
11 5 0.519481 0.509805 0.121735
11 6 0.506494 0.509805 0.121735
11 7 0.506494 0.509805 0.121735
11 8 0.506494 0.509805 0.121735
11 9 0.558442 0.509805 0.121735
11 10 0.350649 0.509805 0.121735
11 11 0.363636 0.509805 0.121735
11 12 0.246753 0.509805 0.121735
11 13 0.220779 0.509805 0.121735
11 14 0.285714 0.509805 0.121735
11 15 0.285714 0.509805 0.121735
11 16 0.363636 0.509805 0.121735
11 17 0.363636 0.509805 0.121735
11 18 0.428571 0.509805 0.121735
11 19 0.454545 0.509805 0.121735
12 0 0.493506 0.509805 0.121735
12 1 0.454545 0.509805 0.121735
12 2 0.428571 0.509805 0.121735
12 3 0.467532 0.509805 0.121735
12 4 0.467532 0.509805 0.121735
12 5 0.376623 0.509805 0.121735
12 6 0.480519 0.509805 0.121735
12 7 0.415584 0.509805 0.121735
12 8 0.311688 0.509805 0.121735
12 9 0.350649 0.509805 0.121735
12 10 0.246753 0.509805 0.121735
12 11 0.285714 0.509805 0.121735
12 12 0.181818 0.509805 0.121735
12 13 0.12987 0.509805 0.121735
12 14 0.220779 0.509805 0.121735
12 15 0.272727 0.509805 0.121735
12 16 0.246753 0.509805 0.121735
12 17 0.311688 0.509805 0.121735
12 18 0.350649 0.509805 0.121735
12 19 0.376623 0.509805 0.121735
13 0 0.467532 0.509805 0.121735
13 1 0.519481 0.509805 0.121735
13 2 0.441558 0.509805 0.121735
13 3 0.480519 0.509805 0.121735
13 4 0.493506 0.509805 0.121735
13 5 0.415584 0.509805 0.121735
13 6 0.415584 0.509805 0.121735
13 7 0.376623 0.509805 0.121735
13 8 0.337662 0.509805 0.121735
13 9 0.363636 0.509805 0.121735
13 10 0.25974 0.509805 0.121735
13 11 0.233766 0.509805 0.121735
13 12 0.207792 0.509805 0.121735
13 13 0.12987 0.509805 0.121735
13 14 0.194805 0.509805 0.121735
13 15 0.272727 0.509805 0.121735
13 16 0.311688 0.509805 0.121735
13 17 0.285714 0.509805 0.121735
13 18 0.38961 0.509805 0.121735
13 19 0.376623 0.509805 0.121735
14 0 0.506494 0.509805 0.121735
14 1 0.532468 0.509805 0.121735
14 2 0.467532 0.509805 0.121735
14 3 0.558442 0.509805 0.121735
14 4 0.532468 0.509805 0.121735
14 5 0.480519 0.509805 0.121735
14 6 0.493506 0.509805 0.121735
14 7 0.467532 0.509805 0.121735
14 8 0.337662 0.509805 0.121735
14 9 0.350649 0.509805 0.121735
14 10 0.324675 0.509805 0.121735
14 11 0.376623 0.509805 0.121735
14 12 0.220779 0.509805 0.121735
14 13 0.194805 0.509805 0.121735
14 14 0.233766 0.509805 0.121735
14 15 0.324675 0.509805 0.121735
14 16 0.324675 0.509805 0.121735
14 17 0.363636 0.509805 0.121735
14 18 0.402597 0.509805 0.121735
14 19 0.454545 0.509805 0.121735
15 0 0.623377 0.509805 0.121735
15 1 0.662338 0.509805 0.121735
15 2 0.597403 0.509805 0.121735
15 3 0.61039 0.509805 0.121735
15 4 0.61039 0.509805 0.121735
15 5 0.597403 0.509805 0.121735
15 6 0.61039 0.509805 0.121735
15 7 0.584416 0.509805 0.121735
15 8 0.480519 0.509805 0.121735
15 9 0.506494 0.509805 0.121735
15 10 0.38961 0.509805 0.121735
15 11 0.415584 0.509805 0.121735
15 12 0.363636 0.509805 0.121735
15 13 0.272727 0.509805 0.121735
15 14 0.285714 0.509805 0.121735
15 15 0.415584 0.509805 0.121735
15 16 0.402597 0.509805 0.121735
15 17 0.38961 0.509805 0.121735
15 18 0.467532 0.509805 0.121735
15 19 0.506494 0.509805 0.121735
16 0 0.597403 0.509805 0.121735
16 1 0.623377 0.509805 0.121735
16 2 0.584416 0.509805 0.121735
16 3 0.571429 0.509805 0.121735
16 4 0.558442 0.509805 0.121735
16 5 0.61039 0.509805 0.121735
16 6 0.636364 0.509805 0.121735
16 7 0.623377 0.509805 0.121735
16 8 0.532468 0.509805 0.121735
16 9 0.545455 0.509805 0.121735
16 10 0.480519 0.509805 0.121735
16 11 0.428571 0.509805 0.121735
16 12 0.363636 0.509805 0.121735
16 13 0.298701 0.509805 0.121735
16 14 0.298701 0.509805 0.121735
16 15 0.402597 0.509805 0.121735
16 16 0.428571 0.509805 0.121735
16 17 0.441558 0.509805 0.121735
16 18 0.519481 0.509805 0.121735
16 19 0.480519 0.509805 0.121735
17 0 0.545455 0.509805 0.121735
17 1 0.519481 0.509805 0.121735
17 2 0.519481 0.509805 0.121735
17 3 0.519481 0.509805 0.121735
17 4 0.532468 0.509805 0.121735
17 5 0.636364 0.509805 0.121735
17 6 0.636364 0.509805 0.121735
17 7 0.545455 0.509805 0.121735
17 8 0.493506 0.509805 0.121735
17 9 0.506494 0.509805 0.121735
17 10 0.402597 0.509805 0.121735
17 11 0.441558 0.509805 0.121735
17 12 0.337662 0.509805 0.121735
17 13 0.272727 0.509805 0.121735
17 14 0.298701 0.509805 0.121735
17 15 0.38961 0.509805 0.121735
17 16 0.402597 0.509805 0.121735
17 17 0.441558 0.509805 0.121735
17 18 0.493506 0.509805 0.121735
17 19 0.441558 0.509805 0.121735
18 0 0.558442 0.509805 0.121735
18 1 0.558442 0.509805 0.121735
18 2 0.532468 0.509805 0.121735
18 3 0.61039 0.509805 0.121735
18 4 0.584416 0.509805 0.121735
18 5 0.61039 0.509805 0.121735
18 6 0.636364 0.509805 0.121735
18 7 0.61039 0.509805 0.121735
18 8 0.532468 0.509805 0.121735
18 9 0.545455 0.509805 0.121735
18 10 0.467532 0.509805 0.121735
18 11 0.454545 0.509805 0.121735
18 12 0.350649 0.509805 0.121735
18 13 0.298701 0.509805 0.121735
18 14 0.38961 0.509805 0.121735
18 15 0.480519 0.509805 0.121735
18 16 0.480519 0.509805 0.121735
18 17 0.480519 0.509805 0.121735
18 18 0.480519 0.509805 0.121735
18 19 0.454545 0.509805 0.121735
19 0 0.545455 0.509805 0.121735
19 1 0.571429 0.509805 0.121735
19 2 0.597403 0.509805 0.121735
19 3 0.597403 0.509805 0.121735
19 4 0.597403 0.509805 0.121735
19 5 0.636364 0.509805 0.121735
19 6 0.636364 0.509805 0.121735
19 7 0.61039 0.509805 0.121735
19 8 0.545455 0.509805 0.121735
19 9 0.545455 0.509805 0.121735
19 10 0.467532 0.509805 0.121735
19 11 0.480519 0.509805 0.121735
19 12 0.402597 0.509805 0.121735
19 13 0.350649 0.509805 0.121735
19 14 0.38961 0.509805 0.121735
19 15 0.532468 0.509805 0.121735
19 16 0.519481 0.509805 0.121735
19 17 0.454545 0.509805 0.121735
19 18 0.519481 0.509805 0.121735
19 19 0.493506 0.509805 0.121735
